COUNTY,Retailer Commission,Prizes Paid,HOPE Students to Date,hopeDollars,PreK Students To Date,PreK Dollars To Date,*Outlay/Technology fy94-01,TOTAL RETURNED TO EDUCATION,sales,TOTAL RETURNED To Date,id,hopeRank,salesRank,hopeStudentRank
BRANTLEY ,4018617,37564040,2877,7582763,2957,12158513,1663313,21404589,62873962,62987246,33,113,121,105
TURNER ,4375855,37849017,2703,7494376,1668,6624890,845758,14965024,66852784,57189896,80,114,117,106
MORGAN ,9827735,78346500,2666,12703239,2068,7513549,1182743,21399531,148731083,109573766,11,94,72,107
WILKINSON,4438610,33607892,2632,8645890,1742,6958941,869343,16474174,66818497,54520676,123,107,118,108
HART ,8055464,60731218,2587,9970336,1785,6774440,1192942,17937718,126767290,86724400,144,104,82,109
WILCOX ,2597405,22987632,2558,6994731,1002,4221631,634549,11850911,39682179,37435947,15,119,141,110
EVANS ,4035530,35780133,2539,8520885,1818,7638180,638931,16797996,62331307,56613658,37,109,123,111
HANCOCK ,4874481,38085922,2470,7332009,814,2860293,610106,10802408,71528954,53762811,113,115,114,112
JASPER ,3676601,29700361,2425,8531038,682,2952553,649838,12133429,54968046,45510392,128,108,128,113
IRWIN,2298280,20157781,2407,7259646,1504,6136249,1907079,15302974,35772494,37759035,39,117,148,114
TAYLOR ,3546006,28327186,2368,6778617,1407,6604957,777137,14160711,53174709,46033903,54,123,130,115
TERRELL,5927321,50921948,2364,7053290,1292,5545388,717101,13315779,88838064,70165048,140,118,98,116
BACON ,3282887,28685901,2338,6871725,1047,4673892,607008,12152625,50515490,44121412,79,121,132,117
SEMINOLE ,5709128,48101356,2319,7930227,1673,6553980,679912,15164119,87409725,68974602,7,112,100,118
PULASKI,4836815,41581034,2312,7300689,1366,5901916,622148,13824753,73209964,60242602,76,116,110,119
RABUN ,5076130,37721229,2262,8399421,1072,3917789,789764,13106974,83678078,55904332,3,110,104,120
MONTGOMERY ,2734616,23342039,2245,6779054,877,3729456,788733,11297243,41460616,37373898,147,122,139,121
JOHNSON ,2502465,20303559,2177,6085831,1212,5577812,493035,12156678,37355748,34962702,53,129,144,122
CANDLER ,3910164,33683325,2175,6566213,1813,7547980,791825,14906018,60151425,52499506,90,125,125,123
JENKINS ,2974373,25178348,2174,6569375,1282,5465293,800263,12834931,44622406,40987653,112,124,137,124
CHARLTON ,2815288,21382878,2045,5427264,1224,5986531,594404,12008199,45403554,36206365,49,131,136,125
ATKINSON ,2372768,21478579,2029,5663145,1425,5696784,769932,12129861,36883516,35981207,82,130,145,126
GREENE ,8691740,70321458,2001,8334919,1933,7930361,1062600,17327880,132316951,96341078,72,111,77,127
